23,196,2
23,323,2
23,385,4
114,505,3
110,38,3
110,307,4
110,688,1
110,944,3
91,323,2
91,480,4
128,15,4
128,204,4
128,317,4
128,371,1
128,485,3
128,508,4
128,603,5
251,100,4
251,748,2
214,131,3
214,334,3
214,478,4
214,568,4
117,150,4
117,268,5
117,1047,2
144,89,3
144,699,4
144,709,4
144,742,4
219,82,1
140,332,3
308,1,4
308,55,3
308,81,5
308,187,5
308,295,3
308,402,4
308,427,4
308,640,4
308,649,4
308,1197,4
308,1286,3
255,1034,1
129,873,1
33,872,3
274,405,4
274,845,5
185,23,4
185,287,5
5,2,3
5,10,8
5,17,4
5,110,1
5,225,2
5,439,1
28,201,3
28,209,4
313,117,4
123,427,3
42,44,3
42,96,5
42,274,5
42,403,3
42,423,5
42,546,3
42,588,5
42,625,3
42,794,3
42,1028,4
178,248,4
178,317,4
178,332,3
178,385,4
178,433,4
178,568,4
178,731,4
178,742,3
178,845,4
248,234,4
50,246,3
95,135,3
95,233,4
95,546,2
95,625,4
95,787,2
95,1217,3
82,56,3
82,135,3
82,183,3
82,477,3
82,508,2
82,597,3
82,717,1
82,1134,2
49,302,4
49,559,2
49,959,2
49,1003,2
10,7,4
10,16,4
10,100,5
10,175,3
10,461,3
10,486,4
10,611,5
225,193,4
225,237,5
225,480,5
137,144,5
83,78,2
83,215,4
83,234,4
83,281,5
83,576,4
83,623,4
83,660,4
264,200,5
264,294,3
264,655,4
264,721,5
264,813,4
245,181,4
245,1028,5
241,690,2
286,99,4
286,143,4
286,153,5
286,171,4
286,175,5
286,208,4
286,237,2
286,288,5
286,298,4
286,357,4
286,379,5
286,746,4
286,1014,5
118,200,5
118,774,5
237,514,4
194,23,4
194,54,3
194,66,3
194,77,3
194,152,3
194,165,4
194,172,3
194,181,3
194,274,2
194,385,2
194,466,4
194,1028,2
194,1211,2
60,60,5
60,162,4
60,427,5
60,430,5
125,80,4
125,163,5
125,190,5
125,235,2
125,478,4
197,96,5
197,346,3
197,347,4
197,511,5
197,688,1
134,286,3
134,323,4
201,146,1
201,203,5
201,219,4
201,272,3
201,518,4
201,649,3
201,695,1
201,767,4
201,960,2
201,979,2
201,1100,4
79,50,4
79,303,4
210,40,3
16,8,5
16,55,5
16,64,5
16,194,5
16,197,5
16,705,5
16,944,1
63,242,3
63,277,4
63,289,2
63,762,3
63,1067,3
253,259,2
253,465,5
80,466,5
213,133,3
213,172,5
213,173,5
213,176,4
213,235,1
213,273,5
213,515,4
13,56,5
13,72,4
13,98,4
13,186,4
13,198,3
13,215,5
13,229,4
13,272,4
13,344,2
13,360,4
13,418,2
13,498,4
13,526,3
13,780,1
13,809,4
13,823,5
13,836,2
13,858,1
13,864,4
13,892,3
13,901,1
145,15,2
145,56,5
145,237,5
145,275,2
111,301,4
111,328,4
72,48,4
72,54,3
72,182,5
72,195,5
72,568,4
72,679,2
72,699,3
72,866,4
72,1110,3
234,10,3
234,81,3
234,141,3
234,187,4
234,206,4
234,318,4
234,448,3
234,487,3
234,612,3
234,626,4
234,632,2
234,1184,2
234,1451,3
234,1462,3
293,5,3
293,135,5
293,249,3
293,423,3
293,471,3
293,685,3
293,770,3
293,1267,3
113,126,5
113,595,5
99,4,5
99,79,4
99,111,1
99,268,3
99,873,1
99,1016,5
222,26,3
222,49,3
222,53,5
222,77,4
222,87,3
222,97,4
222,118,4
222,151,3
222,173,5
222,278,2
222,366,4
222,379,1
222,448,3
222,724,3
222,750,5
222,755,4
222,781,3
222,796,4
222,812,2
160,135,4
160,174,5
160,234,5
160,460,2
160,462,4
160,719,3
11,111,4
11,227,3
11,558,3
11,732,3
280,1,4
280,508,3
280,540,3
280,631,5
280,1049,2
151,10,5
151,176,2
151,197,5
1,20,4
1,33,4
1,61,4
1,117,3
1,155,2
1,160,4
1,171,5
1,189,3
1,202,5
1,265,4
19,4,4
263,96,4
263,176,5
263,419,5
263,568,4
269,22,1
269,127,4
269,198,4
269,217,2
269,234,1
269,246,5
269,367,3
269,504,4
269,507,4
269,522,5
269,705,2
269,845,1
61,678,3
157,25,3
157,274,4
43,14,2
43,120,4
43,137,4
43,203,4
43,323,3
43,815,4
130,109,3
130,216,4
130,379,4
130,642,4
130,1014,3
130,1017,3
130,1217,4
130,1246,3
8,22,5
8,98,5
8,338,4
8,550,3
52,250,3
52,280,3
311,179,2
311,432,4
311,654,3
283,1114,5
257,137,4
221,48,5
221,475,4
221,943,4
221,1010,3
122,387,5
122,509,4
2,251,5
2,292,4
45,25,4
73,206,3
73,480,4
218,208,3
218,209,5
218,430,3
18,26,4
18,86,4
18,408,5
18,443,3
268,2,2
268,21,3
268,62,3
268,145,1
268,147,4
268,217,2
268,231,4
268,436,3
268,583,4
268,824,2
268,930,2
268,955,3
268,1035,2
177,333,4
47,324,3
84,405,3
84,742,3
94,62,3
94,184,2
94,216,3
94,265,4
94,343,4
94,572,3
94,720,1
94,744,4
94,789,4
94,1217,3
94,1220,3
94,1224,3
288,132,3
288,305,4
288,593,2
215,211,4
215,212,2
215,421,4
44,195,5
44,294,4
44,443,5
44,449,5
44,644,3
44,660,5
155,323,2
116,350,3
121,291,3
121,514,3
121,740,3
282,325,1
249,188,4
249,241,5
96,156,4
184,153,3
184,187,4
184,218,3
184,321,5
184,412,2
184,522,3
146,1022,5
69,240,3
69,256,5
69,268,5
229,328,1
15,25,3
15,405,2
15,749,1
244,17,2
244,51,2
244,183,4
244,186,3
244,265,4
244,310,3
244,381,4
244,550,1
244,673,3
244,707,4
244,756,2
244,815,4
22,80,4
22,128,5
22,376,3
22,377,1
112,903,1
233,202,5
233,375,4
217,2,3
217,182,2
217,597,4
236,57,5
236,71,3
236,632,3
262,28,3
262,931,2
262,1147,4
224,26,3
224,29,3
224,69,4
224,77,4
224,178,4
224,245,3
224,583,1
152,301,3
135,23,4
302,303,2
302,322,2
54,106,3
54,302,4
54,595,3
54,742,5
75,284,2
259,117,4
259,255,4
287,1,5
287,327,5
287,926,4
115,20,3
115,265,2
